link,title,date,director,starring,margaret,david,imdb,imdb_rating
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=10,"Midsummer Night`s Dream, A",,Michael Hoffman,,no score,3.0,tt0140379,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=100,Cast Away,,Robert Zemeckis,Tom Hanks; Helen Hunt,4.0,4.0,tt0162222,7.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1000,Crackerjack,,Paul Moloney,Mick Molloy; Judith Lucy; Bill Hunter; Frank Wilson; Monica Maughan; John Clarke,4.0,3.5,tt0291832,6.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1001,K:19 The Widowmaker,,Kathryn Bigelow,Harrison Ford; Liam Neeson,3.5,3.0,tt0267626,6.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1002,Kissing Jessica Stein,,Charles Herman-Wurmfeld,Heather Juergensen; Jennifer Westfeldt,4.0,3.0,tt0264761,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1003,Samsara,,Pan Nalin,Shawn Ku; Christy Chung; Neelesha Ba Vora,no score,3.0,tt0196069,7.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1004,Tears Of The Black Tiger,,Visit Sasanatieng,Stella Malucchi; Chartchai Ngamsam,3.5,no score,tt0269217,6.9
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1005,The Ring,,Gore Verbinski,Naomi Watts; Martin Henderson; David Dorfman,3.0,3.0,tt0298130,7.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1006,The Guru,,Daisy von Scherler Mayer,Heather Graham; Marisa Tomei; Jimi Mistry,2.5,3.0,tt0280720,5.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1007,Blood Work,,Clint Eastwood,Clint Eastwood; Jeff Daniels; Wanda De Jesus; Tina Lifford; Paul Rodriguez; Dylan Walsh; Anjelica Huston,no score,3.5,tt0309377,6.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1008,Lovely And Amazing,,Nicole Holofcener,Catherine Keener; Brenda Blethyn; Emily Mortimer; Raven Goodwin; Aunjanue Ellis; Clark Gregg; Jake Gyllenhaal; James Le Gros; Dermot Mulroney,4.0,3.0,tt0258273,6.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1009,Tempted,,Bill Bennett,Burt Reynolds; Saffron Burrows; Peter Facinelli,3.0,3.0,tt0265859,5.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=101,Celebrity,,Woody Allen,,1.5,4.0,tt0120533,6.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1010,Changing Lanes,,Roger Michell,Ben Affleck; Samuel L. Jackson; Toni Collette,3.5,4.0,tt0264472,6.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1011,The Banger Sisters,,Bob Dolman,Susan Sarandon; Goldie Hawn; Geoffrey Rush; Erika Christensen; Robin Thomas; Eva Amurri,3.0,3.5,tt0280460,5.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1012,Lucky Break,,Peter Cattaneo,James Nesbitt; Olivia Williams; Timothy Spall; Bill Nighy; Christopher Plummer,no score,1.0,tt0246134,6.1
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1014,"The Best Man's Wedding(Jalla!, Jalla!).",,Josef Fares,Fares Fares; Torkel Petersson; Tuva Novotny; Laleh Pourkarim,3.0,4.0,,
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1016,Killing Me Softly,,Chen Kaige,Heather Graham; Joseph Fiennes; Natascha McElhone,1.5,2.0,tt0250468,5.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1017,Harry Potter And The Chamber Of Secrets,,Chris Columbus,Daniel Radcliffe; Emma Watson ; Rupert Grint; Richard Harris; Maggie Smith; Kenneth Branagh; Robbie Coltrane; Alan Rickman,3.0,no score,tt0295297,7.4
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1018,Brotherhood Of The Wolf,,Christophe Gans,Samuel Le Bihan; Vincent Cassel; Émilie Dequenne; Monica Bellucci; Jérémie Rénier; Mark Dacascos; Jean Yanne; Jean-François Stévenin,3.0,2.5,tt0237534,7.0
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1019,Full Frontal,,Steven Soderbegh,David Duchovny; Nicky Katt; Catherine Keener; Mary McCormack; David Hyde Pierce; Julia Roberts; Blair Underwood,3.5,2.0,tt0290212,4.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=102,Central Station,,Walter Salles,,4.5,4.5,tt0140888,8.0
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1020,Swing,,Tony Gatlif,Oscar Copp; Tchavolo Schmitt; Mandino Reinhardt;,2.5,4.5,tt0307538,7.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1021,Swept Away,,Gut Ritchie,Adriano Giannini; Madonna,0.5,no score,tt0291502,3.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1022,Blue Crush,,John Stockwell,Kate Bosworth; Matthew Davis ; Michelle Rodriguez; Sanoe Lake; Mika Boorem,2.0,2.5,tt0300532,5.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1023,Possession,,Neil LaBute,Gwyneth Paltrow; Aaron Eckhart; Jeremy Northam; Jennifer Ehle,2.0,2.5,tt0256276,6.3
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1024,The Experiment,,Oliver Hirschbiegel,Moritz Bleibtreu; Maren Eggert,3.5,3.5,tt0250258,7.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1025,Life Or Something Like It,,Stephen Herek,Angelina Jolie; Edward Burns ; Tony Shalhoub,3.5,no score,tt0282687,5.8
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1026,Sorcerer,,Williwm Friedkin,Roy Scheider; Bruno Cremer; Francisco Rabal,no score,3.5,tt0076740,7.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1028,Ghost Ship,,Steve Beck,Gabriel Byrne; Julianna Margulies; Ron Eldard; Desmond Harrington; Isaiah Washington; Alex Dimitriades; Karl Urban; Emily Browning,no score,0.5,tt0288477,5.5
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1029,Thunderpants,,Peter Hewitt,Rupert Grint; Bruce Cook; Simon Callow; Stephen Fry; Celia Imrie; Paul Giamatti; Ned Beatty,3.0,1.5,tt0283054,3.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=103,Centre Stage,,Nicolas Hytmer,,3.0,2.5,tt0210616,6.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1030,Santa Clause 2,,Michael Lembeck,Tim Allen; Elizabeth Mitchell; David Krumholtz; Eric Lloyd; Judge Reinhold,no score,1.0,tt0304669,5.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1032,Spirited Away,,Hayao Miyazaki,Daveigh Chase; Rumi Hiiragi; Colleen O'Shaughnessy; Miyu Irino; Jason Marsden; Mari Natsuki; Suzanne Pleshette,3.5,4.0,tt0245429,8.6
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1033,Adaptation,,Spike Jonze,Nicolas Cage; Meryl Streep; Chris Cooper,4.0,4.5,tt0268126,7.7
https://web.archive.org/web/20041119140541/http://www.sbs.com.au/movieshow/index.php3?action=review&id=1034,Frida,,Julie Taymor,Sama Hayek; Alfred Molina,4.0,4.0,tt0120679,7.4
